,rule,alpha,d_ini,level_3,n_cell,count,actual_run_num,mean_2,mean_3
231,1,0.2,0.7,mean,400,199.5,500.0,1.6398292502448661,2.4016588214859507
232,1,0.2,0.75,mean,400,199.5,500.0,1.639955533669783,2.401707639828063
233,1,0.2,0.8,mean,400,199.5,500.0,1.6392840054001292,2.4008436437801928
234,1,0.25,0.2,mean,400,199.5,500.0,1.6580615996471408,2.434656233784161
235,1,0.25,0.25,mean,400,199.5,500.0,1.6582855527928764,2.4349301198407334
236,1,0.25,0.3,mean,400,199.5,500.0,1.6588571154844245,2.435824730562506
237,1,0.25,0.35,mean,400,199.5,500.0,1.6593602390788533,2.4362890961816914
238,1,0.25,0.4,mean,400,199.5,500.0,1.659506447740088,2.436523331403679
239,1,0.25,0.45,mean,400,199.5,500.0,1.659894601855665,2.437282228217795
240,1,0.25,0.5,mean,400,199.5,500.0,1.6600132330718842,2.4375956516717436
241,1,0.25,0.55,mean,400,199.5,500.0,1.6604549786211504,2.4383022083784294
242,1,0.25,0.6,mean,400,199.5,500.0,1.660790392362208,2.438622517332991
243,1,0.25,0.65,mean,400,199.5,500.0,1.660775292259635,2.4383615541251227
244,1,0.25,0.7,mean,400,199.5,500.0,1.6600566094358085,2.437936061352359
245,1,0.25,0.75,mean,400,199.5,500.0,1.6604886052468941,2.4384811679219354
246,1,0.25,0.8,mean,400,199.5,500.0,1.660138401866992,2.4378392603180252
247,1,0.3,0.2,mean,400,199.5,500.0,1.6790429298035416,2.4718586798575433
248,1,0.3,0.25,mean,400,199.5,500.0,1.679410909853061,2.4719162920524793
249,1,0.3,0.3,mean,400,199.5,500.0,1.679808498581275,2.472379748631249
250,1,0.3,0.35,mean,400,199.5,500.0,1.679921391302908,2.472635909984743
251,1,0.3,0.4,mean,400,199.5,500.0,1.6803984288710188,2.473654855776036
252,1,0.3,0.45,mean,400,199.5,500.0,1.6807818532317285,2.4739066076031206
253,1,0.3,0.5,mean,400,199.5,500.0,1.6809322508269295,2.474482369006121
254,1,0.3,0.55,mean,400,199.5,500.0,1.6810150299485065,2.474297645933358
255,1,0.3,0.6,mean,400,199.5,500.0,1.6811144084173701,2.4747753431723374
256,1,0.3,0.65,mean,400,199.5,500.0,1.6810295753603697,2.474316344582824
257,1,0.3,0.7,mean,400,199.5,500.0,1.6810865958060774,2.474610161044666
258,1,0.3,0.75,mean,400,199.5,500.0,1.6810699391220925,2.474459875621007
259,1,0.3,0.8,mean,400,199.5,500.0,1.6808254544194785,2.4743603071996767
260,1,0.35,0.2,mean,400,199.5,500.0,1.7000300826868386,2.5080816308667364
261,1,0.35,0.25,mean,400,199.5,500.0,1.7000969159645272,2.508075669700078
262,1,0.35,0.3,mean,400,199.5,500.0,1.700466162552268,2.5087573171368605
263,1,0.35,0.35,mean,400,199.5,500.0,1.700541538937266,2.5088505237715695
264,1,0.35,0.4,mean,400,199.5,500.0,1.7009449474653686,2.5095806336304505
265,1,0.35,0.45,mean,400,199.5,500.0,1.701032596388711,2.5097449414819097
266,1,0.35,0.5,mean,400,199.5,500.0,1.701235229094394,2.509954280195792
267,1,0.35,0.55,mean,400,199.5,500.0,1.7013010706707608,2.5100943924393344
268,1,0.35,0.6,mean,400,199.5,500.0,1.7012784278578577,2.5099882414661963
269,1,0.35,0.65,mean,400,199.5,500.0,1.7013964156828267,2.510164594308258
270,1,0.35,0.7,mean,400,199.5,500.0,1.7011116957521963,2.5099790383607634
271,1,0.35,0.75,mean,400,199.5,500.0,1.7009647448356264,2.5094126065780475
272,1,0.35,0.8,mean,400,199.5,500.0,1.7008529889800865,2.509231289920068
273,1,0.4,0.2,mean,400,199.5,500.0,1.7198632858239131,2.5425174879340746
274,1,0.4,0.25,mean,400,199.5,500.0,1.7200709573628992,2.5431678133512463
275,1,0.4,0.3,mean,400,199.5,500.0,1.7204344864998253,2.5434777190151374
276,1,0.4,0.35,mean,400,199.5,500.0,1.7204682161021365,2.5434887474299304
277,1,0.4,0.4,mean,400,199.5,500.0,1.7208543822792106,2.543978752158716
278,1,0.4,0.45,mean,400,199.5,500.0,1.7210229327915925,2.5443164191511483
279,1,0.4,0.5,mean,400,199.5,500.0,1.7211992871948063,2.5445867884466153
280,1,0.4,0.55,mean,400,199.5,500.0,1.7211282820198357,2.5444750232969118
281,1,0.4,0.6,mean,400,199.5,500.0,1.7212890197486737,2.5447670959040916
282,1,0.4,0.65,mean,400,199.5,500.0,1.7212081779670478,2.544675921485745
283,1,0.4,0.7,mean,400,199.5,500.0,1.7208039788696337,2.5440603177077232
284,1,0.4,0.75,mean,400,199.5,500.0,1.720796314305054,2.5439530556145153
285,1,0.4,0.8,mean,400,199.5,500.0,1.720331178910706,2.543405194933852
286,1,0.45,0.2,mean,400,199.5,500.0,1.7392015500345963,2.5757478442241113
287,1,0.45,0.25,mean,400,199.5,500.0,1.7394647853320433,2.5762786046840063
288,1,0.45,0.3,mean,400,199.5,500.0,1.7395782172992298,2.5762044070941
289,1,0.45,0.35,mean,400,199.5,500.0,1.7401623887663076,2.5772337197654065
290,1,0.45,0.4,mean,400,199.5,500.0,1.7401866551353715,2.5773273154119436
291,1,0.45,0.45,mean,400,199.5,500.0,1.7404985279033187,2.577469716049441
292,1,0.45,0.5,mean,400,199.5,500.0,1.7403057363527614,2.577489275663361
293,1,0.45,0.55,mean,400,199.5,500.0,1.7404531571880393,2.5777849800552635
294,1,0.45,0.6,mean,400,199.5,500.0,1.7405886704324134,2.5777179804046533
295,1,0.45,0.65,mean,400,199.5,500.0,1.740494123251629,2.5776977186257066
296,1,0.45,0.7,mean,400,199.5,500.0,1.7402379490979518,2.577439518741565
297,1,0.45,0.75,mean,400,199.5,500.0,1.7400333652354734,2.577125156730158
298,1,0.45,0.8,mean,400,199.5,500.0,1.7395976091770295,2.576476657979415
299,1,0.5,0.2,mean,400,199.5,500.0,1.758232708713294,2.60756236658339
300,1,0.5,0.25,mean,400,199.5,500.0,1.7582465409759274,2.60761702758512
301,1,0.5,0.3,mean,400,199.5,500.0,1.7586214476620399,2.6083323323020817
302,1,0.5,0.35,mean,400,199.5,500.0,1.7589525211890773,2.6086670621801376
303,1,0.5,0.4,mean,400,199.5,500.0,1.7588026980409117,2.608589560893096
304,1,0.5,0.45,mean,400,199.5,500.0,1.758925362486456,2.608624783726483
305,1,0.5,0.5,mean,400,199.5,500.0,1.759022899087333,2.6088634323672886
306,1,0.5,0.55,mean,400,199.5,500.0,1.7590036771868371,2.6088496880405234
307,1,0.5,0.6,mean,400,199.5,500.0,1.7588695909223182,2.6086889124723234
308,1,0.5,0.65,mean,400,199.5,500.0,1.758964564625634,2.6088033197633003
309,1,0.5,0.7,mean,400,199.5,500.0,1.7587728859948766,2.6085372529359527
310,1,0.5,0.75,mean,400,199.5,500.0,1.7585907078019207,2.608217600946322
311,1,0.5,0.8,mean,400,199.5,500.0,1.7582163354695743,2.6078722075792418
312,1,0.55,0.2,mean,400,199.5,500.0,1.775717667991683,2.636282825916617
313,1,0.55,0.25,mean,400,199.5,500.0,1.7758429137671445,2.636452693581347
314,1,0.55,0.3,mean,400,199.5,500.0,1.7760861507938623,2.6368012645754026
315,1,0.55,0.35,mean,400,199.5,500.0,1.7762181831568122,2.6369176147818267
316,1,0.55,0.4,mean,400,199.5,500.0,1.7763997702175556,2.6373385823014486
317,1,0.55,0.45,mean,400,199.5,500.0,1.7764474103051437,2.637364003354241
318,1,0.55,0.5,mean,400,199.5,500.0,1.7764982359072214,2.637398549145207
319,1,0.55,0.55,mean,400,199.5,500.0,1.7766066731306582,2.6376418486551683
320,1,0.55,0.6,mean,400,199.5,500.0,1.7765376998457447,2.6374978061767207
321,1,0.55,0.65,mean,400,199.5,500.0,1.776238458617908,2.637027516790332
