,rule,alpha,d_ini,level_3,count,actual_run_num,System_entropy
9894,128,0.75,0.4,mean,0,2.229,0.8745856269554081
9895,128,0.75,0.5,mean,0,2.524,1.0838225440092226
9896,128,0.75,0.6,mean,0,2.995,1.3794116841307136
9897,128,0.75,0.7,mean,0,3.643,1.6695428556312029
9898,128,0.75,0.8,mean,0,4.636,2.0197502185609917
9899,128,0.75,0.9,mean,0,6.397,2.4936058200852838
9900,128,0.8,0.1,mean,0,1.24,0.0
9901,128,0.8,0.2,mean,0,1.446,0.32412694479328497
9902,128,0.8,0.3,mean,0,1.675,0.5294791895118593
9903,128,0.8,0.4,mean,0,1.954,0.7408598010892855
9904,128,0.8,0.5,mean,0,2.293,1.0210229405349978
9905,128,0.8,0.6,mean,0,2.801,1.301652740728409
9906,128,0.8,0.7,mean,0,3.36,1.5926570522947419
9907,128,0.8,0.8,mean,0,4.338,1.97415639824407
9908,128,0.8,0.9,mean,0,5.991,2.460219339707592
9909,128,0.85,0.1,mean,0,1.164,0.0
9910,128,0.85,0.2,mean,0,1.323,0.25411504064825713
9911,128,0.85,0.3,mean,0,1.552,0.45792784855475144
9912,128,0.85,0.4,mean,0,1.79,0.6644962714270324
9913,128,0.85,0.5,mean,0,2.129,0.9247435172546099
9914,128,0.85,0.6,mean,0,2.561,1.2190986846747125
9915,128,0.85,0.7,mean,0,3.141,1.5397852477347753
9916,128,0.85,0.8,mean,0,4.044,1.916600173379995
9917,128,0.85,0.9,mean,0,5.664,2.4179593421195222
9918,128,0.9,0.1,mean,0,1.124,0.0
9919,128,0.9,0.2,mean,0,1.209,0.17623358542784456
9920,128,0.9,0.3,mean,0,1.382,0.34511504064825715
9921,128,0.9,0.4,mean,0,1.653,0.5779751916608882
9922,128,0.9,0.5,mean,0,1.946,0.8257280834342954
9923,128,0.9,0.6,mean,0,2.353,1.1372219746661771
9924,128,0.9,0.7,mean,0,2.954,1.4674076136568208
9925,128,0.9,0.8,mean,0,3.777,1.8502433204925495
9926,128,0.9,0.9,mean,0,5.393,2.3838968140860177
9927,128,0.95,0.1,mean,0,1.06,0.0
9928,128,0.95,0.2,mean,0,1.101,0.09775488750216348
9929,128,0.95,0.3,mean,0,1.215,0.21283659166810898
9930,128,0.95,0.4,mean,0,1.453,0.4222000031489783
9931,128,0.95,0.5,mean,0,1.796,0.730897397496674
9932,128,0.95,0.6,mean,0,2.196,1.0457799945070778
9933,128,0.95,0.7,mean,0,2.735,1.3934266173360805
9934,128,0.95,0.8,mean,0,3.563,1.7834901357423687
9935,128,0.95,0.9,mean,0,5.142,2.34220174999602
9936,128,1.0,0.1,mean,0,1.0,0.0
9937,128,1.0,0.2,mean,0,1.0,0.0
9938,128,1.0,0.3,mean,0,1.084,0.084
